code,famille,code_parent,arborescence
01,* Primeur,,Jardin.Primeur
02,** Légumes,01,Jardin.Primeur.Legumes
02RACINE,*** Racines & Tubercules,02,Jardin.Primeur.Legumes.Racine
02BETT,Betterave,02RACINE,Jardin.Primeur.Legumes.Racine.Betterave
02CARO,Carotte,02RACINE,Jardin.Primeur.Legumes.Racine.Carotte
02PANA,Panais,02RACINE,Jardin.Primeur.Legumes.Racine.Panais
02CELE,Céleri,02RACINE,Jardin.Primeur.Legumes.Racine.Celeri
02NARU,Navet,02RACINE,Jardin.Primeur.Legumes.Racine.Navet
02PATATE,Patate douce,02RACINE,Jardin.Primeur.Legumes.Racine.PatateDouce
02POMM,Pomme de terre,02RACINE,Jardin.Primeur.Legumes.Racine.PommeDeTerre
02RADI,Radis,02RACINE,Jardin.Primeur.Legumes.Racine.Radis
02CUCURB,*** Cucurbitacées,02,Jardin.Primeur.Legumes.Cucurbitacees
02COUR,Courgette,02CUCURB,Jardin.Primeur.Legumes.Cucurbitacees.Courgette
02POTIR,Potiron,02CUCURB,Jardin.Primeur.Legumes.Cucurbitacees.Potiron
02CONC,Concombre,02CUCURB,Jardin.Primeur.Legumes.Cucurbitacees.Concombre
02LEGUM,*** Légumineuses,02,Jardin.Primeur.Legumes.Legumineuses
02POIS,Pois,02LEGUM,Jardin.Primeur.Legumes.Legumineuses.Pois
02HARI,Haricot,02LEGUM,Jardin.Primeur.Legumes.Legumineuses.Haricot
02COMPOS,*** Produits composés,02,Jardin.Primeur.ProduitsComposes
02COCKTAIL,Cocktail,02COMPOS,Jardin.Primeur.ProduitsComposes.Cocktail
02MINEST,Minestrone,02COMPOS,Jardin.Primeur.ProduitsComposes.Minestrone
02SACHET,Sachet,02COMPOS,Jardin.Primeur.ProduitsComposes.Sachet
02AROMCOND,*** Assaisonnements,01,Jardin.Primeur.Assaisonnements
02AROM,Aromates,02AROMCOND,Jardin.Primeur.Assaisonnements.Aromates
02CONDIM,Condiments,02AROMCOND,Jardin.Primeur.Assaisonnements.Condiments
02EPIC,Epices,02AROMCOND,Jardin.Primeur.Assaisonnements.Epices
02FEUILLE,*** Feuilles et tiges,02,Jardin.Primeur.Legumes.Feuilles
02BETTE,Bette,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Bette
02EPIN,Epinard,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Epinard
02SALA,Salade,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Salade
02ARTICHAU,Artichaut,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Artichaut
02FENO,Fenouil,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Fenouil
02ASP,Asperge,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Asperge
