depot_id
1,Abo CB Annuel,0
2,??,0
4,Abo CB Trimestriel,0
5,Abo Chèque Annuel,0
6,??,0
7,??,0
8,??,0
9,??,0
10,??,0
11,??,0
12,??,0
13,??,0
14,??,0
15,??,0
16,??,0
17,??,0
18,Abo Chèque Semestriel,0
20,Abo Chèque Trimestriel,0
21,??,0
22,??,0
23,??,0
24,??,0
25,Abo Prélèvement Mensuel x 10,41
26,Abo Prélèvement Mensuel x 11,41
27,Abo Prélèvement Mensuel x 2,41
28,Abo Prélèvement Mensuel x 3,41
29,Abo Prélèvement Mensuel x 4,41
30,Abo Prélèvement Mensuel x 5,41
31,Abo Prélèvement Mensuel x 6,41
32,Abo Prélèvement Mensuel x 7,41
33,Abo Prélèvement Mensuel x 8,41
34,Abo Prélèvement Mensuel x 9,41
35,Abo Prélèvement Trimestriel x 1,43
36,Abo Prélèvement Trimestriel x 2,43
37,Abo Prélèvement mensuel x 1,41
38,??,43
39,Abo Prélèvement trimestriel x 3,43
40,Abo Prélévement Annuel,0
41,Abo Prélévement Mensuel,0
42,Abo Prélévement Semestriel,0
43,Abo Prélévement Trimestriel,0
44,Abo Virement Mensuel,0
45,Chèque 30 jours,5
46,Chèque comptant,5
47,Cot Carte Bancaire,7
48,Cot Chèque,0
49,Cot Espèces,0
50,Cot Prélévement,0
51,Cot Virement,0
52,Espèces comptant,0
53,Virement 30 jours,44
54,Virement comptant,44
55,Abo Virement Trimestriel,0
56,Abo Virement Annuel,0
57,Abo Virement mensuel x 1,44
58,Abo Virement mensuel x 2,44
59,Abo Virement mensuel x 3,44
60,Abo Virement mensuel x 4,44
61,Abo Virement mensuel x 5,44
62,Abo Virement mensuel x 6,44
63,Abo Virement mensuel x 7,44
64,Abo Virement mensuel x 8,44
65,Abo Virement mensuel x 9,44
66,Abo Virement mensuel x 10,44
67,Abo Virement mensuel x 11,44
